0,10752
1,4315
2,2053
3,865
4,455
5,283
6,177
7,165
8,136
9,114
10,113
11,100
12,88
13,65
14,77
15,53
16,51
17,53
18,38
19,33
20,38
21,34
22,33
23,27
24,32
25,28
26,31
27,29
28,22
29,22
30,15
31,21
32,18
33,17
34,23
35,17
36,25
37,22
38,16
39,15
40,19
41,29
42,15
43,16
44,13
45,8
46,16
47,11
48,18
49,8
50,5
51,12
52,5
53,9
54,6
55,16
56,9
57,11
58,8
59,8
60,11
61,13
62,10
63,11
64,3
65,6
66,5
67,4
68,4
69,4
70,2
71,3
72,3
73,1
74,3
75,6
76,3
77,5
78,3
79,3
80,2
81,3
82,2
83,3
85,3
86,5
87,4
88,2
89,3
90,2
91,5
92,1
93,3
94,2
95,1
96,4
97,2
99,5
100,3
102,3
103,3
104,8
105,7
106,6
107,4
108,1
110,1
111,1
112,3
114,2
115,1
117,3
118,1
119,4
121,1
122,2
123,2
126,3
127,1
128,3
130,2
131,2
132,1
133,2
135,2
136,3
137,2
138,2
139,7
140,5
141,7
142,7
143,4
144,4
145,2
146,1
147,1
148,2
149,2
151,4
152,3
153,2
154,3
155,3
156,4
157,1
158,3
159,2
160,2
161,1
162,3
163,1
164,2
165,3
166,1
167,1
168,3
169,2
170,4
171,3
172,1
174,3
175,1
176,1
177,1
182,1
183,1
184,3
186,1
189,1
191,1
192,1
196,1
197,2
198,1
199,1
200,3
202,1
203,2
204,1
205,1
207,3
213,1
215,2
217,2
221,1
227,1
230,2
231,2
232,2
235,1
237,3
238,2
239,1
240,2
241,4
244,1
246,1
250,2
256,1
260,2
263,1
265,1
267,4
268,1
269,2
270,3
271,2
272,1
273,1
274,2
276,1
277,4
278,1
279,2
280,3
281,1
283,2
284,1
285,1
286,1
287,4
288,2
291,2
294,2
295,1
296,1
297,2
298,3
299,2
300,2
302,1
304,2
305,1
306,2
308,2
309,1
310,1
311,2
312,1
314,2
316,1
326,1
335,1
355,1
368,1
385,1
421,1
425,1
441,1
442,1
458,1
466,1
486,1
492,1
547,1
560,1
596,1
719,1
765,1
813,1
816,1
817,1
820,1
920,1
981,1
984,1
986,1
987,1
1851,1
2474,1
3194,1
5602,1
15891,1
25193,1
26774,1
